CONTINENT,REGION,WHO_REGION,ADMIN0,ADMIN0ID,ADMIN0_FIP,ADMIN0ISO2,ADMIN0ISO3,ADMIN1,ADMIN1ID,ADMIN2,ADMIN2ID,Alt_ADMIN2,ADMIN3,ADMIN3ID,IUs_ADM,IUs_NAME,IU_ID,IU_CODE,Year,PopTot,PopPreSAC,PopSAC,PopAdult,Endemicity,PopReq,PopTrg,PopTreat,Cov,Cum_MDA,MDA,EffMDA,MDA_n,EffMDA_n,EpiCov,EpiMDA,EpiEffMDA,EpiMDA_n,EpiEffMDA_n,MDA_scheme,Endemicity_ID,LF_MDA_left,Oncho_Endemicity,Loa_Endemicity,STH_Endemicity,SCH_Endemicity,MDA_strategy,Drugs,Adjusted_Round1,Adjusted_Round2
Africa,Western Africa,AFRO,Benin,3,BN,BJ,BEN,Alibori,367,Banikoara,3212,,,0,ADM2,Banikoara,3212,BEN0036703212,2020,301522,41128,89552,158781,Non-endemic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not delivered,0,0,Endemic (under MDA),Non-endemic,Low prevalence (less than 20%),Moderate prevalence (10%-49%),MDA 3 / T2,IVM / PZQ,MDA 3,T2
Africa,Western Africa,AFRO,Benin,3,BN,BJ,BEN,Alibori,367,Kandi,3213,,,0,ADM2,Kandi,3213,BEN0036703213,2020,136830,18664,40639,72055,Non-endemic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not delivered,0,0,Endemic (under MDA),Non-endemic,Moderate prevalence (20%-49%),Moderate prevalence (10%-49%),MDA 1 / T2,ALB+IVM / PZQ,MDA 1,T2
Africa,Western Africa,AFRO,Benin,3,BN,BJ,BEN,Alibori,367,Karimama,3214,,,0,ADM2,Karimama,3214,BEN0036703214,2020,73244,9990,21753,38570,Endemic (under post-intervention surveillance),0,0,0,0,7,0,0,0,0,0,0,0,0,0,Not delivered,3,0,Endemic (under MDA),Non-endemic,Low prevalence (less than 20%),Low prevalence (less than 10%),MDA 3 / T2,IVM / PZQ,MDA 3,T2
Africa,Western Africa,AFRO,Benin,3,BN,BJ,BEN,Alibori,367,Malanville,3215,,,0,ADM2,Malanville,3215,BEN0036703215,2020,129185,17621,38368,68029,Endemic (under post-intervention surveillance),0,0,0,0,7,0,0,0,0,0,0,0,0,0,Not delivered,3,0,Endemic (under MDA),Non-endemic,Low prevalence (less than 20%),Moderate prevalence (10%-49%),MDA 3 / T2,IVM / PZQ,MDA 3,T2
Africa,Western Africa,AFRO,Benin,3,BN,BJ,BEN,Alibori,367,Segbana,3216,,,0,ADM2,Segbana,3216,BEN0036703216,2020,71199,9712,21146,37493,Non-endemic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not delivered,0,0,Endemic (under MDA),Non-endemic,Moderate prevalence (20%-49%),Low prevalence (less than 10%),MDA 1 / T2,ALB+IVM / PZQ,MDA 1,T2
Africa,Western Africa,AFRO,Benin,3,BN,BJ,BEN,Atakora,368,Cobly,3218,,,0,ADM2,Cobly,3218,BEN0036803218,2020,79632,10862,23651,41934,Non-endemic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not delivered,0,0,Endemic (under MDA),Non-endemic,Moderate prevalence (20%-49%),Moderate prevalence (10%-49%),MDA 1 / T2,ALB+IVM / PZQ,MDA 1,T2
Africa,Western Africa,AFRO,Benin,3,BN,BJ,BEN,Atakora,368,Natitingou,3222,,,0,ADM2,Natitingou,3222,BEN0036803222,2020,80961,11043,24045,42634,Non-endemic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not delivered,0,0,Endemic (under MDA),Non-endemic,Low prevalence (less than 20%),Low prevalence (less than 10%),MDA 3 / T2,IVM / PZQ,MDA 3,T2
Africa,Western Africa,AFRO,Benin,3,BN,BJ,BEN,Donga,372,Ouake,3223,,,0,ADM2,Ouake,3223,BEN0037203223,2020,71655,9774,21282,37734,Non-endemic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not delivered,0,0,Endemic (under MDA),Non-endemic,Moderate prevalence (20%-49%),High prevalence (50% and above),MDA 1 / T2,ALB+IVM / PZQ,MDA 1,T2
Africa,Western Africa,AFRO,Benin,3,BN,BJ,BEN,Atakora,368,Toukountouna,3226,,,0,ADM2,Toukountouna,3226,BEN0036803226,2020,49607,6766,14733,26123,Endemic (under post-intervention surveillance),0,0,0,0,7,0,0,0,0,0,0,0,0,0,Not delivered,3,0,Endemic (under MDA),Non-endemic,Low prevalence (less than 20%),Low prevalence (less than 10%),MDA 3 / T2,IVM / PZQ,MDA 3,T2
Africa,Western Africa,AFRO,Benin,3,BN,BJ,BEN,Atlantique,369,Abomey-calavi,3227,,,0,ADM2,Abomey-calavi,3227,BEN0036903227,2020,819065,111720,243262,431320,Non-endemic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not delivered,0,0,Non-endemic,Non-endemic,Low prevalence (less than 20%),Low prevalence (less than 10%),T2,PZQ,,T2
Africa,Western Africa,AFRO,Benin,3,BN,BJ,BEN,Atlantique,369,Allada,3228,,,0,ADM2,Allada,3228,BEN0036903228,2020,119188,16257,35399,62764,Endemic (under post-intervention surveillance),0,0,0,0,8,0,0,4,1,0,0,0,4,1,Not delivered,3,0,Non-endemic,Non-endemic,Moderate prevalence (20%-49%),Low prevalence (less than 10%),T1,PZQ+ALB-MBD,,T1
Africa,Western Africa,AFRO,Benin,3,BN,BJ,BEN,Atlantique,369,Ouidah,3230,,,0,ADM2,Ouidah,3230,BEN0036903230,2020,160859,21941,47775,84708,Endemic (under post-intervention surveillance),0,0,0,0,8,0,0,4,1,0,0,0,4,1,Not delivered,3,0,Non-endemic,Non-endemic,Low prevalence (less than 20%),Moderate prevalence (10%-49%),T2,PZQ,,T2
Africa,Western Africa,AFRO,Benin,3,BN,BJ,BEN,Atlantique,369,So-Ava,3231,,,0,ADM2,So-Ava,3231,BEN0036903231,2020,147938,20179,43938,77904,Non-endemic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not delivered,0,0,Non-endemic,Non-endemic,Low prevalence (less than 20%),High prevalence (50% and above),T2,PZQ,,T2
Africa,Western Africa,AFRO,Benin,3,BN,BJ,BEN,Atlantique,369,Toffo,3232,,,0,ADM2,Toffo,3232,BEN0036903232,2020,31718,4326,9420,16703,Non-endemic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not delivered,0,0,Endemic (under MDA),Non-endemic,High prevalence (50% and above),Moderate prevalence (10%-49%),MDA 1 / T1,ALB+IVM / PZQ+ALB-MBD,MDA 1,T1
Africa,Western Africa,AFRO,Benin,3,BN,BJ,BEN,Atlantique,369,Torri-Bossito,3233,,,0,ADM2,Torri-Bossito,3233,BEN0036903233,2020,58821,8023,17470,30975,Endemic (under post-intervention surveillance),0,0,0,0,8,0,0,4,3,0,0,0,4,2,Not delivered,3,0,Non-endemic,Non-endemic,Moderate prevalence (20%-49%),Moderate prevalence (10%-49%),T1,PZQ+ALB-MBD,,T1
Africa,Western Africa,AFRO,Benin,3,BN,BJ,BEN,Alibori,367,Gogounou,3236,,,0,ADM2,Gogounou,3236,BEN0036703236,2020,121428,16563,36064,63944,Non-endemic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not delivered,0,0,Endemic (under MDA),Non-endemic,Moderate prevalence (20%-49%),Low prevalence (less than 10%),MDA 1 / T2,ALB+IVM / PZQ,MDA 1,T2
Africa,Western Africa,AFRO,Benin,3,BN,BJ,BEN,Borgou,370,N'Dali,3238,,,0,ADM2,N'Dali,3238,BEN0037003238,2020,98402,13422,29225,51818,Non-endemic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not delivered,0,0,Endemic (under MDA),Non-endemic,Moderate prevalence (20%-49%),High prevalence (50% and above),MDA 1 / T2,ALB+IVM / PZQ,MDA 1,T2
Africa,Western Africa,AFRO,Benin,3,BN,BJ,BEN,Borgou,370,Nikki,3239,,,0,ADM2,Nikki,3239,BEN0037003239,2020,183938,25089,54630,96862,Non-endemic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not delivered,0,0,Endemic (under MDA),Non-endemic,Low prevalence (less than 20%),Moderate prevalence (10%-49%),MDA 3 / T2,IVM / PZQ,MDA 3,T2
Africa,Western Africa,AFRO,Benin,3,BN,BJ,BEN,Borgou,370,Parakou,3240,,,0,ADM2,Parakou,3240,BEN0037003240,2020,202942,27681,60274,106869,Endemic (under post-intervention surveillance),0,0,0,0,8,0,0,4,2,0,0,0,4,1,Not delivered,3,0,Endemic (under MDA),Non-endemic,Moderate prevalence (20%-49%),Moderate prevalence (10%-49%),MDA 1 / T2,ALB+IVM / PZQ,MDA 1,T2
Africa,Western Africa,AFRO,Benin,3,BN,BJ,BEN,Borgou,370,Tchaourou,3243,,,0,ADM2,Tchaourou,3243,BEN0037003243,2020,269897,36814,80159,142128,Endemic (under post-intervention surveillance),0,0,0,0,7,0,0,0,0,0,0,0,0,0,Not delivered,3,0,Endemic (under MDA),Non-endemic,Moderate prevalence (20%-49%),High prevalence (50% and above),MDA 1 / T2,ALB+IVM / PZQ,MDA 1,T2
Africa,Western Africa,AFRO,Benin,3,BN,BJ,BEN,Collines,371,Bante,3244,,,0,ADM2,Bante,3244,BEN0037103244,2020,95260,12993,28292,50164,Endemic (under post-intervention surveillance),0,0,0,0,7,0,0,0,0,0,0,0,0,0,Not delivered,3,0,Endemic (under MDA),Non-endemic,Moderate prevalence (20%-49%),Moderate prevalence (10%-49%),MDA 1 / T2,ALB+IVM / PZQ,MDA 1,T2
