ADMIN0,ADMIN1,ADMIN2,IUs_NAME,IU_CODE,Year,PopTot,PopPreSAC,PopSAC,PopAdult,Endemicity,PopReq,PopTrg,PopTreat,Cov,Cum_MDA,MDA,EffMDA,MDA_n,EffMDA_n,EpiCov,EpiMDA,EpiEffMDA,EpiMDA_n,EpiEffMDA_n,MDA_scheme,Endemicity_ID,Endemicity_loa,Raploa_MIN,Raploa_MAX,ov_prev_mean,ov_prev_min,ov_prev_ma
Seychelles,East,Anse Aux Pins,Anse Aux Pins,SYC0424341227,2020,0,0,0,0,Non-endemic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not delivered,0,Non-endemic,0,0,,,
Seychelles,West,Anse Boileau,Anse Boileau,SYC0423441228,2020,0,0,0,0,Non-endemic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not delivered,0,Non-endemic,0,0,,,
Seychelles,Northern,Anse Etoile,Anse Etoile,SYC0424041229,2020,0,0,0,0,Non-endemic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not delivered,0,Non-endemic,0,0,,,
Seychelles,South,Anse Royale,Anse Royale,SYC0423841230,2020,0,0,0,0,Non-endemic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not delivered,0,Non-endemic,0,0,,,
Seychelles,South,Au Cap,Au Cap,SYC0423841231,2020,0,0,0,0,Non-endemic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not delivered,0,Non-endemic,0,0,,,
Seychelles,South,Baie Lazare,Baie Lazare,SYC0423841232,2020,0,0,0,0,Non-endemic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not delivered,0,Non-endemic,0,0,,,
Seychelles,Inner Islands,Baie Ste Anne,Baie Ste Anne,SYC0423941233,2020,0,0,0,0,Non-endemic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not delivered,0,Non-endemic,0,0,,,
Seychelles,Northern,Beau Vallon,Beau Vallon,SYC0424041234,2020,0,0,0,0,Non-endemic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not delivered,0,Non-endemic,0,0,,,
Seychelles,Central,Bel Air,Bel Air,SYC0424141235,2020,0,0,0,0,Non-endemic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not delivered,0,Non-endemic,0,0,,,
Seychelles,Northern,Belombre,Belombre,SYC0424041236,2020,0,0,0,0,Non-endemic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not delivered,0,Non-endemic,0,0,,,
Seychelles,East,Cascade,Cascade,SYC0424341237,2020,0,0,0,0,Non-endemic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not delivered,0,Non-endemic,0,0,,,
Seychelles,Central,English River,English River,SYC0424141238,2020,0,0,0,0,Non-endemic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not delivered,0,Non-endemic,0,0,,,
Seychelles,Northern,Glacis,Glacis,SYC0424041239,2020,0,0,0,0,Non-endemic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not delivered,0,Non-endemic,0,0,,,
Seychelles,West,Grand Anse Mahe,Grand Anse Mahe,SYC0423441240,2020,0,0,0,0,Non-endemic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not delivered,0,Non-endemic,0,0,,,
Seychelles,Inner Islands,Grand Anse Praslin,Grand Anse Praslin,SYC0423941241,2020,0,0,0,0,Non-endemic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not delivered,0,Non-endemic,0,0,,,
Seychelles,Inner Islands,La Digue,La Digue,SYC0423941242,2020,0,0,0,0,Non-endemic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not delivered,0,Non-endemic,0,0,,,
Seychelles,East,Les Mamelles,Les Mamelles,SYC0424341243,2020,0,0,0,0,Non-endemic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not delivered,0,Non-endemic,0,0,,,
Seychelles,Central,Mont Buxton,Mont Buxton,SYC0424141244,2020,0,0,0,0,Non-endemic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not delivered,0,Non-endemic,0,0,,,
Seychelles,Central,Mont Fleuri,Mont Fleuri,SYC0424141245,2020,0,0,0,0,Non-endemic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not delivered,0,Non-endemic,0,0,,,
Seychelles,Other Islands,Outer Islands,Outer Islands,SYC0425241246,2020,0,0,0,0,Non-endemic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not delivered,0,Non-endemic,0,0,,,
Seychelles,East,Plaisance,Plaisance,SYC0424341247,2020,0,0,0,0,Non-endemic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not delivered,0,Non-endemic,0,0,,,
Seychelles,East,Pointe Larue,Pointe Larue,SYC0424341248,2020,0,0,0,0,Non-endemic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not delivered,0,Non-endemic,0,0,,,
Seychelles,West,Port Glaud,Port Glaud,SYC0423441249,2020,0,0,0,0,Non-endemic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not delivered,0,Non-endemic,0,0,,,
Seychelles,East,Roche Caiman,Roche Caiman,SYC0424341250,2020,0,0,0,0,Non-endemic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not delivered,0,Non-endemic,0,0,,,
